,postcode, total_installations_quantity
1400,4106,101.0
1401,4107,323.0
1402,4108,271.0
1403,4109,1600.0
1404,4110,386.0
1405,4111,44.0
1406,4112,315.0
1407,4113,1122.0
1408,4114,803.0
1409,4115,916.0
1410,4116,860.0
1411,4117,311.0
1412,4118,1310.0
1413,4119,243.0
1414,4120,111.0
1415,4121,747.0
1416,4122,1544.0
1417,4123,1107.0
1418,4124,1225.0
1419,4125,479.0
1420,4127,1084.0
1421,4128,896.0
1422,4129,356.0
1423,4130,450.0
1424,4131,359.0
1425,4132,920.0
1426,4133,641.0
1427,4151,286.0
1428,4152,1562.0
1429,4153,196.0
1430,4154,491.0
1431,4155,98.0
1432,4156,159.0
1433,4157,1026.0
1434,4158,161.0
1435,4159,779.0
1436,4160,985.0
1437,4161,734.0
1438,4163,657.0
1439,4164,709.0
1440,4165,2591.0
1441,4169,85.0
1442,4170,570.0
1443,4171,251.0
1444,4172,139.0
1445,4173,272.0
1446,4174,94.0
1447,4178,896.0
1448,4179,768.0
1449,4183,146.0
1450,4184,451.0
1451,4205,376.0
1452,4207,2532.0
1453,4208,1125.0
1454,4209,1459.0
1455,4210,1240.0
1456,4211,2905.0
1457,4212,1096.0
1458,4213,1688.0
1459,4214,1670.0
1460,4215,1082.0
1461,4216,1544.0
1462,4217,914.0
1463,4218,1337.0
1464,4220,1466.0
1465,4221,1594.0
1466,4223,948.0
1467,4224,272.0
1468,4225,137.0
1469,4226,1202.0
1470,4227,675.0
1471,4228,466.0
1472,4230,4.0
1473,4270,302.0
1474,4271,130.0
1475,4272,335.0
1476,4275,196.0
1477,4280,1261.0
1478,4285,1224.0
